0.001053	0.001011	0.042979	0.000008	101419.951425
0.001130	0.003038	0.126374	0.000032	101426.635453
0.001076	0.005027	0.203762	0.000187	101422.289972
0.001056	0.007007	0.275486	0.000482	101421.650472
0.001065	0.009021	0.342206	0.000902	101424.852012
0.001084	0.011022	0.401689	0.001444	101428.883020
0.001053	0.013024	0.454132	0.002325	101429.257647
0.001054	0.017020	0.537338	0.004147	101440.271004
0.001057	0.015023	0.499290	0.003197	101434.903284
0.001091	0.019018	0.568654	0.004803	101449.929714
0.001052	0.021017	0.593697	0.005882	101453.559726
0.001044	0.025012	0.627490	0.006925	101467.565672
0.001051	0.027011	0.637755	0.006925	101475.451418
0.001065	0.029008	0.644672	0.006551	101483.412473
0.001093	0.023014	0.613055	0.006186	101464.582646
0.001083	0.031007	0.649022	0.005835	101490.834030
0.001084	0.035009	0.652781	0.003719	101499.839386
0.001062	0.037005	0.653327	0.002361	101500.421405
0.001095	0.039001	0.653529	0.000782	101504.581487
0.001095	0.040999	0.653521	-0.000768	101504.781850
0.001062	0.033009	0.651505	0.005016	101494.190389
0.001062	0.042995	0.653328	-0.002378	101500.466186
0.001062	0.046991	0.651485	-0.005013	101493.981080
0.001083	0.048993	0.649019	-0.005837	101491.114054
0.001065	0.050992	0.644665	-0.006552	101483.416273
0.001051	0.052989	0.637754	-0.006927	101475.465325
0.001044	0.054988	0.627492	-0.006928	101467.600865
0.001084	0.044991	0.652781	-0.003714	101499.987425
0.001093	0.056986	0.613052	-0.006189	101464.574190
0.001052	0.058983	0.593715	-0.005886	101453.569203
0.001091	0.060982	0.568643	-0.004808	101449.821532
0.001057	0.064977	0.499288	-0.003189	101434.592608
0.001053	0.066976	0.454121	-0.002325	101429.970163
0.001084	0.068978	0.401692	-0.001442	101428.991868
0.001065	0.070979	0.342209	-0.000909	101424.393114
0.001054	0.062980	0.537358	-0.004143	101439.971815
0.001056	0.072993	0.275488	-0.000485	101421.644723
0.001076	0.074973	0.203768	-0.000189	101422.170407
0.001053	0.078989	0.042978	-0.000004	101417.999542
0.003038	0.001130	0.048128	-0.000091	101602.181580
0.003106	0.003121	0.130069	-0.000695	101606.205131
0.001130	0.076962	0.126375	-0.000030	101425.940002
0.003059	0.007106	0.279393	-0.002948	101599.145213
0.003067	0.009110	0.345432	-0.004364	101600.062831
0.003064	0.013092	0.455913	-0.006940	101604.658806
0.003078	0.015083	0.500496	-0.008010	101610.512388
0.003095	0.005142	0.208606	-0.001731	101603.257603
0.003087	0.019070	0.569072	-0.009198	101624.154858
0.003053	0.021068	0.593871	-0.009030	101629.084044
0.003093	0.023067	0.613072	-0.009116	101641.064212
0.003065	0.017072	0.538061	-0.008644	101615.201882
0.003078	0.011100	0.404174	-0.005777	101602.716737
0.003064	0.025059	0.627362	-0.008407	101647.155017
0.003075	0.029032	0.644458	-0.006860	101664.532736
0.003062	0.033017	0.651434	-0.004557	101676.483994
0.003086	0.035010	0.652801	-0.003397	101683.316555
