1          20.0049400000        0.0247106000         19.9571600000        0.0393761000        
1          19.9571600000        0.0393761000         19.9093800000        0.0540415000        
1          19.9093800000        0.0540415000         19.8615900000        0.0687069000        
1          19.8615900000        0.0687069000         19.8138100000        0.0833723000        
1          19.8138100000        0.0833723000         19.7660300000        0.0980378000        
1          19.7660300000        0.0980378000         19.7182500000        0.1127032000        
1          19.7182500000        0.1127032000         19.6704700000        0.1273686000        
1          19.6704700000        0.1273686000         19.6226800000        0.1420340000        
1          19.6226800000        0.1420340000         19.5749000000        0.1566995000        
1          19.5749000000        0.1566995000         19.5271200000        0.1713649000        
1          19.5271200000        0.1713649000         19.4793400000        0.1860303000        
1          19.4793400000        0.1860303000         19.4315500000        0.2006957000        
1          19.4315500000        0.2006957000         19.3837700000        0.2153611000        
1          19.3837700000        0.2153611000         19.3359900000        0.2300266000        
1          19.3359900000        0.2300266000         19.2882100000        0.2446920000        
1          19.2882100000        0.2446920000         19.2404200000        0.2593574000        
1          19.2404200000        0.2593574000         19.1926400000        0.2740228000        
1          19.1926400000        0.2740228000         19.1448600000        0.2886883000        
1          19.1448600000        0.2886883000         19.0970800000        0.3033537000        
1          19.0970800000        0.3033537000         19.0492900000        0.3180191000        
1          19.0492900000        0.3180191000         19.0015100000        0.3326845000        
1          19.0015100000        0.3326845000         18.9537300000        0.3473500000        
1          18.9537300000        0.3473500000         18.9059500000        0.3620154000        
1          18.9059500000        0.3620154000         18.8581600000        0.3766808000        
1          18.8581600000        0.3766808000         18.8103800000        0.3913462000        
1          18.8103800000        0.3913462000         18.7626000000        0.4060117000        
1          18.7626000000        0.4060117000         18.7148200000        0.4206771000        
1          18.7148200000        0.4206771000         18.6670300000        0.4353425000        
1          18.6670300000        0.4353425000         18.6192500000        0.4500079000        
1          18.6192500000        0.4500079000         18.5714700000        0.4646734000        
1          18.5714700000        0.4646734000         18.5236900000        0.4793388000        
1          18.5236900000        0.4793388000         18.4759000000        0.4940042000        
1          18.4759000000        0.4940042000         18.4281200000        0.5086696000        
1          18.4281200000        0.5086696000         18.3803400000        0.5233351000        
1          18.3803400000        0.5233351000         18.3325600000        0.5380005000        
1          18.3325600000        0.5380005000         18.2847800000        0.5526659000        
1          18.2847800000        0.5526659000         18.2369900000        0.5673313000        
1          18.2369900000        0.5673313000         18.1892100000        0.5819968000        
1          18.1892100000        0.5819968000         18.1414300000        0.5966622000        
1          18.1414300000        0.5966622000         18.0936500000        0.6113276000        
1          18.0936500000        0.6113276000         18.0458600000        0.6259930000        
1          18.0458600000        0.6259930000         17.9980800000        0.6406585000        
1          17.9980800000        0.6406585000         17.9503000000        0.6553239000        
1          17.9503000000        0.6553239000         17.9025200000        0.6699893000        
1          17.9025200000        0.6699893000         17.8547300000        0.6846547000        
1          17.8547300000        0.6846547000         17.8069500000        0.6993202000        
1          17.8069500000        0.6993202000         17.7591700000        0.7139856000        
1          17.7591700000        0.7139856000         17.7113900000        0.7286510000        
1          17.7113900000        0.7286510000         17.6636000000        0.7433164000        
1          17.6636000000        0.7433164000         17.6158200000        0.7579819000        
1          17.6158200000        0.7579819000         17.5680400000        0.7726473000        
1          17.5680400000        0.7726473000         17.5202600000        0.7873127000        
1          17.5202600000        0.7873127000         17.4724700000        0.8019781000        
1          17.4724700000        0.8019781000         17.4246900000        0.8166436000        
1          17.4246900000        0.8166436000         17.3769100000        0.8313090000        
1          17.3769100000        0.8313090000         17.3291300000        0.8459744000        
1          17.3291300000        0.8459744000         17.2813400000        0.8606398000        
1          17.2813400000        0.8606398000         17.2335600000        0.8753052000        
1          17.2335600000        0.8753052000         17.1857800000        0.8899707000        
1          17.1857800000        0.8899707000         17.1380000000        0.9046361000        
1          17.1380000000        0.9046361000         17.0902200000        0.9193015000        
1          17.0902200000        0.9193015000         17.0424300000        0.9339669000        
1          17.0424300000        0.9339669000         16.9946500000        0.9486324000        
1          16.9946500000        0.9486324000         16.9460400000        0.9602080000        
1          16.9460400000        0.9602080000         16.8973400000        0.9714534000        
1          16.8973400000        0.9714534000         16.8486400000        0.9826988000        
1          16.8486400000        0.9826988000         16.7999400000        0.9939442000        
1          16.7999400000        0.9939442000         16.7512300000        1.0051900000        
1          16.7512300000        1.0051900000         16.7025300000        1.0164350000        
1          16.7025300000        1.0164350000         16.6538300000        1.0276800000        
1          16.6538300000        1.0276800000         16.6051300000        1.0389260000        
1          16.6051300000        1.0389260000         16.5564300000        1.0501710000        
1          16.5564300000        1.0501710000         16.5077300000        1.0614160000        
1          16.5077300000        1.0614160000         16.4590300000        1.0726620000        
1          16.4590300000        1.0726620000         16.4103300000        1.0839070000        
1          16.4103300000        1.0839070000         16.3616300000        1.0951530000        
1          16.3616300000        1.0951530000         16.3129300000        1.1063980000        
1          16.3129300000        1.1063980000         16.2642300000        1.1176430000        
1          16.2642300000        1.1176430000         16.2155300000        1.1288890000        
1          16.2155300000        1.1288890000         16.1668200000        1.1401340000        
1          16.1668200000        1.1401340000         16.1181200000        1.1513800000        
1          16.1181200000        1.1513800000         16.0694200000        1.1626250000        
1          16.0694200000        1.1626250000         16.0207200000        1.1738700000        
1          16.0207200000        1.1738700000         15.9720200000        1.1851160000        
1          15.9720200000        1.1851160000         15.9233200000        1.1963610000        
1          15.9233200000        1.1963610000         15.8746200000        1.2076060000        
1          15.8746200000        1.2076060000         15.8259200000        1.2188520000        
1          15.8259200000        1.2188520000         15.7772200000        1.2300970000        
1          15.7772200000        1.2300970000         15.7285200000        1.2413430000        
1          15.7285200000        1.2413430000         15.6798200000        1.2525880000        
