variables = Iterations, TPD 
         100  4.248046264332342E-005
         200  4.374059044123427E-005
         300  4.499840041414826E-005
         400  4.576232661912460E-005
         500  4.639224359535901E-005
         600  4.634332109637183E-005
         700  4.722446900195462E-005
         800  4.774771135466560E-005
         900  4.827122755687503E-005
        1000  4.826235638063912E-005
        1100  4.902194085917305E-005
        1200  4.955549041268100E-005
        1300  4.917610642126361E-005
        1400  4.974949308006489E-005
        1500  4.939100302752276E-005
        1600  4.986346359828785E-005
        1700  4.999393040206355E-005
        1800  5.037526148527889E-005
        1900  5.028863682281939E-005
        2000  5.041159543610918E-005
        2100  5.042091192676142E-005
        2200  5.028865472798654E-005
        2300  5.035791730442929E-005
        2400  5.047253547164021E-005
        2500  5.024706413125129E-005
        2600  5.064928966955452E-005
        2700  5.075697991962039E-005
        2800  5.109145828589055E-005
        2900  5.132445121334785E-005
        3000  5.151394053623772E-005
        3100  5.195783380653567E-005
        3200  5.258576918909433E-005
        3300  5.285983734260808E-005
        3400  5.352349727447638E-005
        3500  5.380891248927282E-005
        3600  5.460266101773847E-005
        3700  5.499992775239394E-005
        3800  5.554945415910111E-005
        3900  5.563438492933864E-005
        4000  5.605360963140544E-005
        4100  5.665465228509191E-005
        4200  5.693642123340749E-005
        4300  5.685109471943130E-005
        4400  5.746091367197382E-005
        4500  5.780034560734491E-005
        4600  5.789907795653776E-005
        4700  5.781966238098407E-005
        4800  5.763506381299666E-005
        4900  5.848865390669754E-005
        5000  5.840353618589856E-005
